Time,Open,High,Low,Close,Volume
02.01.2013 00:00:00.000,1.31975,1.32019,1.31914,1.31957,1079.8200
02.01.2013 00:15:00.000,1.31957,1.31966,1.31935,1.31957,693.1400
02.01.2013 00:30:00.000,1.31959,1.31996,1.31945,1.31966,796.2000
02.01.2013 00:45:00.000,1.31966,1.32125,1.31963,1.32064,1195.2500
02.01.2013 01:00:00.000,1.32064,1.32131,1.32064,1.32088,1332.2400
02.01.2013 01:15:00.000,1.32088,1.32180,1.32081,1.32176,1416.0700
02.01.2013 01:30:00.000,1.32176,1.32523,1.32172,1.32521,2614.1200
02.01.2013 01:45:00.000,1.32522,1.32767,1.32521,1.32712,3172.4500
02.01.2013 02:00:00.000,1.32712,1.32861,1.32710,1.32787,2576.5600
02.01.2013 02:15:00.000,1.32785,1.32863,1.32785,1.32808,1634.1000
02.01.2013 02:30:00.000,1.32812,1.32991,1.32771,1.32958,1894.1100
02.01.2013 02:45:00.000,1.32958,1.32990,1.32869,1.32934,1941.4600
02.01.2013 03:00:00.000,1.32934,1.32957,1.32901,1.32902,1002.6800
02.01.2013 03:15:00.000,1.32903,1.32910,1.32750,1.32790,1881.8700
02.01.2013 03:30:00.000,1.32790,1.32886,1.32790,1.32827,1196.0100
02.01.2013 03:45:00.000,1.32826,1.32950,1.32819,1.32860,1466.8700
02.01.2013 04:00:00.000,1.32860,1.32891,1.32611,1.32714,2009.7900
02.01.2013 04:15:00.000,1.32716,1.32779,1.32648,1.32694,1369.5300
02.01.2013 04:30:00.000,1.32696,1.32727,1.32525,1.32573,1656.4700
02.01.2013 04:45:00.000,1.32573,1.32609,1.32526,1.32603,1396.7200
02.01.2013 05:00:00.000,1.32603,1.32670,1.32556,1.32670,1326.4700
02.01.2013 05:15:00.000,1.32665,1.32726,1.32568,1.32590,1186.9100
02.01.2013 05:30:00.000,1.32595,1.32665,1.32589,1.32649,1086.2600
02.01.2013 05:45:00.000,1.32650,1.32712,1.32649,1.32662,878.6800
02.01.2013 06:00:00.000,1.32662,1.32736,1.32657,1.32713,1060.1300
02.01.2013 06:15:00.000,1.32713,1.32765,1.32684,1.32738,1802.7500
02.01.2013 06:30:00.000,1.32738,1.32748,1.32692,1.32700,1190.5600
02.01.2013 06:45:00.000,1.32700,1.32744,1.32678,1.32715,1280.2200
02.01.2013 07:00:00.000,1.32715,1.32851,1.32690,1.32755,3346.6900
02.01.2013 07:15:00.000,1.32755,1.32928,1.32739,1.32928,3082.6700
02.01.2013 07:30:00.000,1.32928,1.32931,1.32735,1.32794,2675.7700
02.01.2013 07:45:00.000,1.32796,1.32832,1.32732,1.32732,1743.4300
02.01.2013 08:00:00.000,1.32730,1.32817,1.32676,1.32703,3737.7200
02.01.2013 08:15:00.000,1.32704,1.32812,1.32691,1.32796,2569.3400
02.01.2013 08:30:00.000,1.32795,1.32910,1.32783,1.32879,2651.5700
02.01.2013 08:45:00.000,1.32879,1.32879,1.32743,1.32797,2806.0400
02.01.2013 09:00:00.000,1.32797,1.32867,1.32751,1.32754,2443.7600
02.01.2013 09:15:00.000,1.32751,1.32788,1.32579,1.32607,3371.4400
02.01.2013 09:30:00.000,1.32606,1.32625,1.32521,1.32605,3169.0300
02.01.2013 09:45:00.000,1.32605,1.32672,1.32560,1.32645,2049.0200
02.01.2013 10:00:00.000,1.32643,1.32648,1.32555,1.32622,2373.9600
02.01.2013 10:15:00.000,1.32622,1.32647,1.32340,1.32405,3336.1900
02.01.2013 10:30:00.000,1.32404,1.32495,1.32315,1.32488,3283.0800
02.01.2013 10:45:00.000,1.32488,1.32488,1.32384,1.32451,2127.6400
